input_id	dealiased_id	standard_id	short_id
doi:10.1109/SECSE.2009.5069155	doi:10.1109/SECSE.2009.5069155	doi:10.1109/secse.2009.5069155	fJWFe93e
doi:10.1038/d41586-020-02462-7	doi:10.1038/d41586-020-02462-7	doi:10.1038/d41586-020-02462-7	1Kqna6l2
doi:10.1038/538127a	doi:10.1038/538127a	doi:10.1038/538127a	10ghgV3S8
doi:10.1080/00031305.2017.1399928	doi:10.1080/00031305.2017.1399928	doi:10.1080/00031305.2017.1399928	RVetqmsg
doi:10.1186/1751-0473-8-7	doi:10.1186/1751-0473-8-7	doi:10.1186/1751-0473-8-7	4ny1onB0
doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	kEX5dgzK
url:https://git-scm.com/book/en/v2/Getting-Started-A-Short-History-of-Git	url:https://git-scm.com/book/en/v2/Getting-Started-A-Short-History-of-Git	url:https://git-scm.com/book/en/v2/Getting-Started-A-Short-History-of-Git	1CM2EcdVk
doi:10.1109/MS.2012.61	doi:10.1109/MS.2012.61	doi:10.1109/ms.2012.61	7q3wZN6d
doi:10.1371/journal.pcbi.1004668	doi:10.1371/journal.pcbi.1004668	doi:10.1371/journal.pcbi.1004668	PlcxShQU
doi:10.1109/ICSE.2015.74	doi:10.1109/ICSE.2015.74	doi:10.1109/icse.2015.74	ndfO9H
doi:10.1038/s41559-017-0160	doi:10.1038/s41559-017-0160	doi:10.1038/s41559-017-0160	3DKwn1sY
doi:10.1109/ASONAM.2016.7752419	doi:10.1109/ASONAM.2016.7752419	doi:10.1109/asonam.2016.7752419	139b0pSGc
doi:10.1111/2041-210X.13982	doi:10.1111/2041-210X.13982	doi:10.1111/2041-210x.13982	lJAgyhYq
doi:10.3897/rio.6.e56508	doi:10.3897/rio.6.e56508	doi:10.3897/rio.6.e56508	ydrk01SR
doi:10.1002/bes2.1801	doi:10.1002/bes2.1801	doi:10.1002/bes2.1801	13QX8XU3J
doi:10.1098/rspb.2022.1113	doi:10.1098/rspb.2022.1113	doi:10.1098/rspb.2022.1113	VDJput1V
doi:10.1080/00031305.2017.1375986	doi:10.1080/00031305.2017.1375986	doi:10.1080/00031305.2017.1375986	MwwMapRG
doi:10.1162/99608f92.9497f68e	doi:10.1162/99608f92.9497f68e	doi:10.1162/99608f92.9497f68e	gLby7jt1
url:https://docs.github.com/en/repositories/working-with-files/managing-large-files/about-large-files-on-github	url:https://docs.github.com/en/repositories/working-with-files/managing-large-files/about-large-files-on-github	url:https://docs.github.com/en/repositories/working-with-files/managing-large-files/about-large-files-on-github	1Co6ZZjF1
doi:10.5334/jors.307	doi:10.5334/jors.307	doi:10.5334/jors.307	D4C4k4ak
doi:10.1016/j.cub.2013.11.014	doi:10.1016/j.cub.2013.11.014	doi:10.1016/j.cub.2013.11.014	19kmNxiHc
doi:10.1890/ES14-00402.1	doi:10.1890/ES14-00402.1	doi:10.1890/es14-00402.1	iIEKCTLU
url:https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners	url:https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners	url:https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners	s91uGRZ2
doi:10.1890/120370	doi:10.1890/120370	doi:10.1890/120370	1HhzKAC1K
url:https://docs.github.com/en/issues/trying-out-the-new-projects-experience/about-projects	url:https://docs.github.com/en/issues/trying-out-the-new-projects-experience/about-projects	url:https://docs.github.com/en/issues/trying-out-the-new-projects-experience/about-projects	RhBKe0MG
doi:10.1111/geb.13346	doi:10.1111/geb.13346	doi:10.1111/geb.13346	HtStoSAI
doi:10.1187/cbe.13-12-0241	doi:10.1187/cbe.13-12-0241	doi:10.1187/cbe.13-12-0241	dqrFjoSb
